Term	Student	Subject	Score
1	1056	English	72
1	1056	Chinese	43
1	1057	Math	30
1	1057	English	38
1	1057	Chinese	35
1	1058	Math	74
1	1058	English	76
1	1058	Chinese	83
1	1059	Math	27
1	1059	English	28
1	1059	Chinese	54
1	1060	Math	56
1	1060	English	81
1	1060	Chinese	61
1	1061	Math	64
1	1061	English	56
1	1061	Chinese	80
1	1062	Math	33
1	1062	English	92
1	1062	Chinese	93
1	1063	Math	67
1	1063	English	47
1	1063	Chinese	47
1	1064	Math	62
1	1064	English	28
1	1064	Chinese	57
1	1065	Math	56
1	1065	English	95
1	1065	Chinese	88
1	1066	Math	60
1	1066	English	91
1	1066	Chinese	42
1	1067	Math	50
1	1067	English	58
1	1067	Chinese	48
1	1068	Math	51
1	1068	English	63
1	1068	Chinese	67
1	1069	Math	69
1	1069	English	71
1	1069	Chinese	77
1	1070	Math	53
1	1070	English	53
1	1070	Chinese	94
1	1071	Math	49
1	1071	English	71
1	1071	Chinese	76
1	1072	Math	45
1	1072	English	63
1	1072	Chinese	71
1	1073	Math	62
1	1073	English	26
1	1073	Chinese	78
1	1074	Math	62
1	1074	English	77
1	1074	Chinese	51
1	1075	Math	59
1	1075	English	97
1	1075	Chinese	47
1	1076	Math	84
1	1076	English	54
1	1076	Chinese	35
1	1077	Math	99
1	1077	English	72
1	1077	Chinese	78
1	1078	Math	61
1	1078	English	37
1	1078	Chinese	52
1	1079	Math	29
1	1079	English	79
1	1079	Chinese	57
1	1080	Math	61
1	1080	English	88
1	1080	Chinese	47
1	1081	Math	100
1	1081	English	67
1	1081	Chinese	76
1	1082	Math	51
1	1082	English	65
1	1082	Chinese	86
1	1083	Math	57
1	1083	English	55
1	1083	Chinese	89
1	1084	Math	88
1	1084	English	43
1	1084	Chinese	84
1	1085	Math	83
1	1085	English	54
1	1085	Chinese	30
1	1086	Math	94
1	1086	English	67
1	1086	Chinese	89
1	1087	Math	63
1	1087	English	65
1	1087	Chinese	90
1	1088	Math	45
1	1088	English	66
1	1088	Chinese	64
1	1089	Math	57
1	1089	English	33
1	1089	Chinese	95
1	1090	Math	85
1	1090	English	73
1	1090	Chinese	53
1	1091	Math	88
1	1091	English	30
1	1091	Chinese	84
1	1092	Math	69
1	1092	English	56
1	1092	Chinese	75
1	1093	Math	85
1	1093	English	95
1	1093	Chinese	52
1	1094	Math	70
1	1094	English	28
1	1094	Chinese	70
1	1095	Math	91
1	1095	English	88
1	1095	Chinese	36
1	1096	Math	45
1	1096	English	51
1	1096	Chinese	89
1	1097	Math	97
1	1097	English	56
1	1097	Chinese	50
1	1098	Math	44
1	1098	English	68
1	1098	Chinese	46
1	1099	Math	54
1	1099	English	61
1	1099	Chinese	69
1	1100	Math	66
1	1100	English	69
1	1100	Chinese	89
1	1101	Math	51
1	1101	English	86
1	1101	Chinese	82
1	1102	Math	92
1	1102	English	31
1	1102	Chinese	77
1	1103	Math	75
1	1103	English	100
1	1103	Chinese	41
1	1104	Math	89
1	1104	English	73
1	1104	Chinese	80
1	1105	Math	27
1	1105	English	69
1	1105	Chinese	75
1	1106	Math	84
1	1106	English	40
1	1106	Chinese	66
1	1107	Math	92
1	1107	English	91
1	1107	Chinese	40
1	1108	Math	88
1	1108	English	25
1	1108	Chinese	57
1	1109	Math	59
1	1109	English	73
1	1109	Chinese	62
1	1110	Math	78
1	1110	English	52
1	1110	Chinese	52
1	1111	Math	82
1	1111	English	61
1	1111	Chinese	50
1	1112	Math	68
1	1112	English	72
1	1112	Chinese	76
1	1113	Math	66
1	1113	English	87
1	1113	Chinese	61
1	1114	Math	59
1	1114	English	59
1	1114	Chinese	98
1	1115	Math	58
1	1115	English	35
1	1115	Chinese	66
1	1116	Math	68
1	1116	English	29
1	1116	Chinese	59
1	1117	Math	29
1	1117	English	79
1	1117	Chinese	58
1	1118	Math	45
1	1118	English	58
1	1118	Chinese	84
1	1119	Math	50
1	1119	English	82
1	1119	Chinese	38
1	1120	Math	45
1	1120	English	68
1	1120	Chinese	35
1	1121	Math	59
1	1121	English	51
1	1121	Chinese	57
1	1122	Math	38
1	1122	English	86
1	1122	Chinese	78
1	1123	Math	100
1	1123	English	35
1	1123	Chinese	55
1	1124	Math	91
1	1124	English	98
1	1124	Chinese	32
1	1125	Math	76
1	1125	English	76
1	1125	Chinese	72
1	1126	Math	97
1	1126	English	36
1	1126	Chinese	70
1	1127	Math	66
1	1127	English	72
1	1127	Chinese	24
1	1128	Math	53
1	1128	English	67
1	1128	Chinese	40
1	1129	Math	82
1	1129	English	44
1	1129	Chinese	40
1	1130	Math	57
1	1130	English	72
1	1130	Chinese	32
1	1131	Math	59
1	1131	English	73
1	1131	Chinese	32
1	1132	Math	25
1	1132	English	47
1	1132	Chinese	27
1	1133	Math	74
1	1133	English	84
1	1133	Chinese	68
1	1134	Math	86
1	1134	English	35
1	1134	Chinese	94
1	1135	Math	49
1	1135	English	46
1	1135	Chinese	75
1	1136	Math	83
1	1136	English	94
1	1136	Chinese	58
1	1137	Math	66
1	1137	English	47
1	1137	Chinese	65
1	1138	Math	74
1	1138	English	86
1	1138	Chinese	76
1	1139	Math	42
1	1139	English	83
1	1139	Chinese	100
1	1140	Math	49
1	1140	English	35
1	1140	Chinese	60
1	1141	Math	91
1	1141	English	46
1	1141	Chinese	67
1	1142	Math	88
1	1142	English	61
1	1142	Chinese	38
1	1143	Math	59
1	1143	English	58
1	1143	Chinese	50
1	1144	Math	55
1	1144	English	68
1	1144	Chinese	39
1	1145	Math	85
1	1145	English	72
1	1145	Chinese	39
1	1146	Math	66
1	1146	English	92
1	1146	Chinese	73
1	1147	Math	54
1	1147	English	63
1	1147	Chinese	95
1	1148	Math	75
1	1148	English	54
1	1148	Chinese	80
1	1149	Math	56
1	1149	English	72
1	1149	Chinese	32
1	1150	Math	38
1	1150	English	69
1	1150	Chinese	74
1	1151	Math	81
1	1151	English	72
1	1151	Chinese	78
1	1152	Math	46
1	1152	English	94
1	1152	Chinese	74
1	1153	Math	66
1	1153	English	65
1	1153	Chinese	29
1	1154	Math	55
1	1154	English	70
1	1154	Chinese	39
1	1155	Math	74
1	1155	English	86
1	1155	Chinese	59
1	1156	Math	86
1	1156	English	43
1	1156	Chinese	91
1	1157	Math	53
1	1157	English	41
1	1157	Chinese	76
1	1158	Math	60
1	1158	English	69
1	1158	Chinese	100
1	1159	Math	57
1	1159	English	69
1	1159	Chinese	83
1	1160	Math	62
1	1160	English	91
1	1160	Chinese	31
1	1161	Math	42
1	1161	English	70
1	1161	Chinese	43
1	1162	Math	83
1	1162	English	77
1	1162	Chinese	34
1	1163	Math	71
1	1163	English	46
1	1163	Chinese	63
1	1164	Math	37
1	1164	English	100
1	1164	Chinese	85
1	1165	Math	67
1	1165	English	49
1	1165	Chinese	39
1	1166	Math	64
1	1166	English	48
1	1166	Chinese	67
1	1167	Math	26
1	1167	English	89
1	1167	Chinese	34
1	1168	Math	58
1	1168	English	55
1	1168	Chinese	43
1	1169	Math	74
1	1169	English	95
1	1169	Chinese	20
1	1170	Math	36
1	1170	English	64
1	1170	Chinese	65
1	1171	Math	39
1	1171	English	49
1	1171	Chinese	70
1	1172	Math	40
1	1172	English	79
1	1172	Chinese	35
1	1173	Math	80
1	1173	English	56
1	1173	Chinese	70
1	1174	Math	68
1	1174	English	76
1	1174	Chinese	56
1	1175	Math	85
1	1175	English	62
1	1175	Chinese	75
1	1176	Math	70
1	1176	English	78
1	1176	Chinese	78
1	1177	Math	100
1	1177	English	85
1	1177	Chinese	51
1	1178	Math	48
1	1178	English	48
1	1178	Chinese	71
1	1179	Math	63
1	1179	English	42
1	1179	Chinese	84
1	1180	Math	70
1	1180	English	84
1	1180	Chinese	84
1	1181	Math	43
1	1181	English	66
1	1181	Chinese	54
1	1182	Math	54
1	1182	English	52
1	1182	Chinese	49
1	1183	Math	73
1	1183	English	85
1	1183	Chinese	56
1	1184	Math	81
1	1184	English	76
1	1184	Chinese	33
1	1185	Math	50
1	1185	English	44
1	1185	Chinese	38
1	1186	Math	100
1	1186	English	46
1	1186	Chinese	78
1	1187	Math	76
1	1187	English	86
1	1187	Chinese	47
1	1188	Math	63
1	1188	English	78
1	1188	Chinese	52
1	1189	Math	72
1	1189	English	66
1	1189	Chinese	71
1	1190	Math	97
1	1190	English	67
1	1190	Chinese	70
1	1191	Math	50
1	1191	English	43
1	1191	Chinese	51
1	1192	Math	30
1	1192	English	42
1	1192	Chinese	61
1	1193	Math	93
1	1193	English	28
1	1193	Chinese	81
1	1194	Math	54
1	1194	English	35
1	1194	Chinese	82
1	1195	Math	65
1	1195	English	97
1	1195	Chinese	72
1	1196	Math	64
1	1196	English	88
1	1196	Chinese	50
1	1197	Math	57
1	1197	English	59
1	1197	Chinese	59
1	1198	Math	39
1	1198	English	68
1	1198	Chinese	49
1	1199	Math	29
1	1199	English	51
1	1199	Chinese	67
1	1200	Math	63
1	1200	English	31
1	1200	Chinese	100
2	1000	Math	89
2	1000	English	88
2	1000	Chinese	59
2	1001	Math	58
2	1001	English	82
2	1001	Chinese	63
2	1002	Math	43
2	1002	English	70
2	1002	Chinese	44
2	1003	Math	33
2	1003	English	95
2	1003	Chinese	63
2	1004	Math	44
2	1004	English	70
2	1004	Chinese	49
2	1005	Math	35
2	1005	English	63
2	1005	Chinese	55
2	1006	Math	54
2	1006	English	35
2	1006	Chinese	41
2	1007	Math	66
2	1007	English	56
2	1007	Chinese	85
2	1008	Math	26
2	1008	English	100
2	1008	Chinese	47
2	1009	Math	78
2	1009	English	65
2	1009	Chinese	69
2	1010	Math	44
2	1010	English	32
2	1010	Chinese	54
2	1011	Math	40
2	1011	English	77
2	1011	Chinese	80
2	1012	Math	48
2	1012	English	55
2	1012	Chinese	44
2	1013	Math	29
2	1013	English	74
2	1013	Chinese	50
2	1014	Math	39
2	1014	English	62
2	1014	Chinese	64
2	1015	Math	100
2	1015	English	71
2	1015	Chinese	37
2	1016	Math	56
2	1016	English	46
2	1016	Chinese	75
2	1017	Math	77
2	1017	English	69
2	1017	Chinese	50
2	1018	Math	95
2	1018	English	51
2	1018	Chinese	40
2	1019	Math	88
2	1019	English	79
2	1019	Chinese	55
2	1020	Math	69
2	1020	English	78
2	1020	Chinese	80
2	1021	Math	93
2	1021	English	65
2	1021	Chinese	85
2	1022	Math	28
2	1022	English	40
2	1022	Chinese	39
2	1023	Math	86
2	1023	English	47
2	1023	Chinese	49
2	1024	Math	67
2	1024	English	58
2	1024	Chinese	49
2	1025	Math	83
2	1025	English	79
2	1025	Chinese	34
2	1026	Math	97
2	1026	English	39
2	1026	Chinese	26
2	1027	Math	30
2	1027	English	84
2	1027	Chinese	48
2	1028	Math	75
2	1028	English	67
2	1028	Chinese	76
2	1029	Math	63
2	1029	English	61
2	1029	Chinese	49
2	1030	Math	75
2	1030	English	79
2	1030	Chinese	71
2	1031	Math	59
2	1031	English	92
2	1031	Chinese	79
2	1032	Math	58
2	1032	English	88
2	1032	Chinese	94
2	1033	Math	56
2	1033	English	65
2	1033	Chinese	39
2	1034	Math	68
2	1034	English	53
2	1034	Chinese	54
2	1035	Math	43
2	1035	English	68
2	1035	Chinese	63
2	1036	Math	55
2	1036	English	55
2	1036	Chinese	85
2	1037	Math	57
2	1037	English	89
2	1037	Chinese	50
2	1038	Math	90
2	1038	English	25
2	1038	Chinese	32
2	1039	Math	62
2	1039	English	34
2	1039	Chinese	63
2	1040	Math	36
2	1040	English	36
2	1040	Chinese	59
2	1041	Math	99
2	1041	English	74
2	1041	Chinese	58
2	1042	Math	52
2	1042	English	60
2	1042	Chinese	45
2	1043	Math	64
2	1043	English	95
2	1043	Chinese	84
2	1044	Math	47
2	1044	English	73
2	1044	Chinese	50
2	1045	Math	48
2	1045	English	78
2	1045	Chinese	49
2	1046	Math	66
2	1046	English	67
2	1046	Chinese	44
2	1047	Math	86
2	1047	English	67
2	1047	Chinese	57
2	1048	Math	69
2	1048	English	38
2	1048	Chinese	28
2	1049	Math	43
2	1049	English	55
2	1049	Chinese	76
2	1050	Math	72
2	1050	English	58
2	1050	Chinese	79
2	1051	Math	46
2	1051	English	43
2	1051	Chinese	75
2	1052	Math	31
2	1052	English	41
2	1052	Chinese	96
2	1053	Math	34
2	1053	English	51
2	1053	Chinese	58
2	1054	Math	79
2	1054	English	37
2	1054	Chinese	82
2	1055	Math	21
2	1055	English	40
2	1055	Chinese	51
2	1056	Math	64
2	1056	English	51
2	1056	Chinese	62
2	1057	Math	32
2	1057	English	48
2	1057	Chinese	45
2	1058	Math	78
2	1058	English	97
2	1058	Chinese	74
2	1059	Math	24
2	1059	English	25
2	1059	Chinese	69
2	1060	Math	32
2	1060	English	74
2	1060	Chinese	43
2	1061	Math	76
2	1061	English	60
2	1061	Chinese	70
2	1062	Math	41
2	1062	English	79
2	1062	Chinese	71
2	1063	Math	90
2	1063	English	63
2	1063	Chinese	47
2	1064	Math	62
2	1064	English	35
2	1064	Chinese	52
2	1065	Math	71
2	1065	English	98
2	1065	Chinese	79
2	1066	Math	68
2	1066	English	80
2	1066	Chinese	61
2	1067	Math	47
2	1067	English	73
2	1067	Chinese	51
2	1068	Math	23
2	1068	English	85
2	1068	Chinese	92
2	1069	Math	69
2	1069	English	74
2	1069	Chinese	73
2	1070	Math	47
2	1070	English	45
2	1070	Chinese	96
2	1071	Math	47
2	1071	English	68
2	1071	Chinese	74
2	1072	Math	47
2	1072	English	81
2	1072	Chinese	94
2	1073	Math	59
2	1073	English	46
2	1073	Chinese	72
2	1074	Math	56
2	1074	English	52
2	1074	Chinese	45
2	1075	Math	41
2	1075	English	99
2	1075	Chinese	55
2	1076	Math	88
2	1076	English	62
2	1076	Chinese	41
2	1077	Math	98
2	1077	English	85
2	1077	Chinese	89
2	1078	Math	71
2	1078	English	52
2	1078	Chinese	71
2	1079	Math	38
2	1079	English	63
2	1079	Chinese	48
2	1080	Math	62
2	1080	English	82
2	1080	Chinese	54
2	1081	Math	83
2	1081	English	46
2	1081	Chinese	59
2	1082	Math	28
2	1082	English	39
2	1082	Chinese	88
2	1083	Math	43
2	1083	English	59
2	1083	Chinese	69
2	1084	Math	69
2	1084	English	53
2	1084	Chinese	93
2	1085	Math	74
2	1085	English	46
2	1085	Chinese	26
2	1086	Math	98
2	1086	English	77
2	1086	Chinese	63
2	1087	Math	76
2	1087	English	58
2	1087	Chinese	96
2	1088	Math	29
2	1088	English	82
2	1088	Chinese	69
2	1089	Math	43
2	1089	English	26
2	1089	Chinese	68
2	1090	Math	84
2	1090	English	92
2	1090	Chinese	57
2	1091	Math	73
2	1091	English	52
2	1091	Chinese	99
2	1092	Math	94
2	1092	English	70
2	1092	Chinese	93
2	1093	Math	74
2	1093	English	85
2	1093	Chinese	51
2	1094	Math	62
2	1094	English	29
2	1094	Chinese	68
2	1095	Math	92
2	1095	English	80
2	1095	Chinese	41
2	1096	Math	36
2	1096	English	60
2	1096	Chinese	88
2	1097	Math	100
2	1097	English	38
2	1097	Chinese	52
2	1098	Math	38
2	1098	English	85
2	1098	Chinese	49
2	1099	Math	58
2	1099	English	60
2	1099	Chinese	83
2	1100	Math	69
2	1100	English	75
2	1100	Chinese	100
2	1101	Math	43
2	1101	English	100
2	1101	Chinese	69
2	1102	Math	79
2	1102	English	39
2	1102	Chinese	85
2	1103	Math	72
2	1103	English	97
2	1103	Chinese	67
2	1104	Math	85
2	1104	English	72
2	1104	Chinese	97
2	1105	Math	26
2	1105	English	62
2	1105	Chinese	85
2	1106	Math	72
2	1106	English	43
2	1106	Chinese	68
2	1107	Math	97
2	1107	English	76
2	1107	Chinese	59
2	1108	Math	61
2	1108	English	49
2	1108	Chinese	68
2	1109	Math	55
2	1109	English	79
2	1109	Chinese	56
2	1110	Math	54
2	1110	English	33
2	1110	Chinese	72
2	1111	Math	58
2	1111	English	72
2	1111	Chinese	54
2	1112	Math	40
2	1112	English	66
2	1112	Chinese	82
2	1113	Math	53
2	1113	English	76
2	1113	Chinese	33
2	1114	Math	73
2	1114	English	41
2	1114	Chinese	87
2	1115	Math	53
2	1115	English	49
2	1115	Chinese	84
2	1116	Math	81
2	1116	English	32
2	1116	Chinese	38
2	1117	Math	35
2	1117	English	81
2	1117	Chinese	82
2	1118	Math	34
2	1118	English	72
2	1118	Chinese	69
2	1119	Math	71
2	1119	English	83
2	1119	Chinese	30
2	1120	Math	42
2	1120	English	86
2	1120	Chinese	40
2	1121	Math	67
2	1121	English	31
2	1121	Chinese	76
2	1122	Math	52
2	1122	English	67
2	1122	Chinese	68
2	1123	Math	89
2	1123	English	36
2	1123	Chinese	32
2	1124	Math	100
2	1124	English	100
2	1124	Chinese	28
2	1125	Math	73
2	1125	English	85
2	1125	Chinese	57
2	1126	Math	94
2	1126	English	46
2	1126	Chinese	88
2	1127	Math	83
2	1127	English	82
2	1127	Chinese	24
2	1128	Math	45
2	1128	English	70
2	1128	Chinese	49
2	1129	Math	100
2	1129	English	37
2	1129	Chinese	46
2	1130	Math	68
2	1130	English	57
2	1130	Chinese	37
2	1131	Math	57
2	1131	English	93
2	1131	Chinese	51
2	1132	Math	25
2	1132	English	52
2	1132	Chinese	35
2	1133	Math	92
2	1133	English	83
2	1133	Chinese	82
2	1134	Math	83
2	1134	English	40
2	1134	Chinese	82
2	1135	Math	66
2	1135	English	39
2	1135	Chinese	54
2	1136	Math	82
2	1136	English	97
2	1136	Chinese	60
2	1137	Math	53
2	1137	English	42
2	1137	Chinese	47
2	1138	Math	81
2	1138	English	74
2	1138	Chinese	61
2	1139	Math	47
2	1139	English	60
2	1139	Chinese	100
2	1140	Math	34
2	1140	English	51
2	1140	Chinese	54
2	1141	Math	83
2	1141	English	56
2	1141	Chinese	47
2	1142	Math	79
2	1142	English	48
2	1142	Chinese	44
2	1143	Math	55
2	1143	English	44
2	1143	Chinese	29
2	1144	Math	48
2	1144	English	58
2	1144	Chinese	51
2	1145	Math	98
2	1145	English	96
2	1145	Chinese	48
2	1146	Math	89
2	1146	English	78
2	1146	Chinese	95
2	1147	Math	41
2	1147	English	85
2	1147	Chinese	92
2	1148	Math	73
2	1148	English	45
2	1148	Chinese	55
2	1149	Math	72
2	1149	English	75
2	1149	Chinese	53
2	1150	Math	46
2	1150	English	56
2	1150	Chinese	58
2	1151	Math	69
2	1151	English	66
2	1151	Chinese	62
2	1152	Math	57
2	1152	English	94
2	1152	Chinese	84
2	1153	Math	52
2	1153	English	76
2	1153	Chinese	51
2	1154	Math	71
2	1154	English	68
2	1154	Chinese	32
2	1155	Math	69
2	1155	English	75
2	1155	Chinese	63
2	1156	Math	69
2	1156	English	50
2	1156	Chinese	100
2	1157	Math	49
2	1157	English	58
2	1157	Chinese	78
2	1158	Math	49
2	1158	English	87
2	1158	Chinese	100
2	1159	Math	76
2	1159	English	66
2	1159	Chinese	80
2	1160	Math	54
2	1160	English	89
2	1160	Chinese	37
2	1161	Math	34
2	1161	English	80
2	1161	Chinese	64
2	1162	Math	71
2	1162	English	84
2	1162	Chinese	32
2	1163	Math	73
2	1163	English	52
2	1163	Chinese	61
2	1164	Math	29
2	1164	English	98
2	1164	Chinese	59
2	1165	Math	65
2	1165	English	50
2	1165	Chinese	25
2	1166	Math	47
2	1166	English	45
2	1166	Chinese	58
2	1167	Math	40
2	1167	English	100
2	1167	Chinese	51
2	1168	Math	55
2	1168	English	49
2	1168	Chinese	50
2	1169	Math	73
2	1169	English	78
2	1169	Chinese	46
2	1170	Math	58
2	1170	English	74
2	1170	Chinese	48
2	1171	Math	61
2	1171	English	49
2	1171	Chinese	55
2	1172	Math	44
2	1172	English	80
2	1172	Chinese	46
2	1173	Math	59
2	1173	English	47
2	1173	Chinese	78
2	1174	Math	52
2	1174	English	80
2	1174	Chinese	72
2	1175	Math	72
2	1175	English	77
2	1175	Chinese	65
2	1176	Math	92
2	1176	English	83
2	1176	Chinese	51
2	1177	Math	84
2	1177	English	78
2	1177	Chinese	76
2	1178	Math	77
2	1178	English	48
2	1178	Chinese	64
2	1179	Math	67
2	1179	English	51
2	1179	Chinese	64
2	1180	Math	86
2	1180	English	82
2	1180	Chinese	70
2	1181	Math	38
2	1181	English	61
2	1181	Chinese	51
2	1182	Math	62
2	1182	English	57
2	1182	Chinese	68
2	1183	Math	72
2	1183	English	64
2	1183	Chinese	38
2	1184	Math	76
2	1184	English	54
2	1184	Chinese	26
2	1185	Math	45
2	1185	English	62
2	1185	Chinese	48
2	1186	Math	83
2	1186	English	50
2	1186	Chinese	80
2	1187	Math	66
2	1187	English	75
2	1187	Chinese	21
2	1188	Math	68
2	1188	English	80
2	1188	Chinese	52
2	1189	Math	54
2	1189	English	46
2	1189	Chinese	78
2	1190	Math	94
2	1190	English	72
2	1190	Chinese	54
2	1191	Math	40
2	1191	English	36
2	1191	Chinese	42
2	1192	Math	41
2	1192	English	67
2	1192	Chinese	54
2	1193	Math	86
2	1193	English	35
2	1193	Chinese	81
2	1194	Math	52
2	1194	English	51
2	1194	Chinese	75
2	1195	Math	61
2	1195	English	85
2	1195	Chinese	83
2	1196	Math	62
2	1196	English	65
2	1196	Chinese	45
2	1197	Math	52
2	1197	English	56
2	1197	Chinese	70
2	1198	Math	49
2	1198	English	83
2	1198	Chinese	29
2	1199	Math	51
2	1199	English	49
2	1199	Chinese	90
2	1200	Math	77
2	1200	English	42
2	1200	Chinese	89
3	1000	Math	92
3	1000	English	70
3	1000	Chinese	69
3	1001	Math	69
3	1001	English	92
3	1001	Chinese	51
3	1002	Math	47
3	1002	English	75
3	1002	Chinese	31
3	1003	Math	31
3	1003	English	80
3	1003	Chinese	52
3	1004	Math	53
3	1004	English	90
3	1004	Chinese	43
3	1005	Math	38
3	1005	English	78
3	1005	Chinese	30
3	1006	Math	36
3	1006	English	42
3	1006	Chinese	53
3	1007	Math	57
3	1007	English	65
3	1007	Chinese	83
3	1008	Math	34
3	1008	English	95
3	1008	Chinese	45
3	1009	Math	69
3	1009	English	73
3	1009	Chinese	85
3	1010	Math	67
3	1010	English	33
3	1010	Chinese	54
3	1011	Math	29
3	1011	English	72
3	1011	Chinese	77
3	1012	Math	64
3	1012	English	72
3	1012	Chinese	47
3	1013	Math	48
3	1013	English	92
3	1013	Chinese	47
3	1014	Math	26
3	1014	English	60
3	1014	Chinese	66
3	1015	Math	100
3	1015	English	53
3	1015	Chinese	50
3	1016	Math	34
3	1016	English	59
3	1016	Chinese	56
3	1017	Math	80
3	1017	English	61
3	1017	Chinese	37
3	1018	Math	100
3	1018	English	56
3	1018	Chinese	49
3	1019	Math	78
3	1019	English	56
3	1019	Chinese	35
3	1020	Math	66
3	1020	English	85
3	1020	Chinese	79
3	1021	Math	97
3	1021	English	61
3	1021	Chinese	65
3	1022	Math	44
3	1022	English	23
3	1022	Chinese	55
3	1023	Math	86
3	1023	English	44
3	1023	Chinese	45
3	1024	Math	54
3	1024	English	64
3	1024	Chinese	64
3	1025	Math	89
3	1025	English	76
3	1025	Chinese	41
3	1026	Math	80
3	1026	English	54
3	1026	Chinese	36
3	1027	Math	33
3	1027	English	74
3	1027	Chinese	34
3	1028	Math	90
3	1028	English	61
3	1028	Chinese	59
3	1029	Math	63
3	1029	English	67
3	1029	Chinese	34
3	1030	Math	53
3	1030	English	65
3	1030	Chinese	56
3	1031	Math	64
3	1031	English	69
3	1031	Chinese	63
3	1032	Math	46
3	1032	English	92
3	1032	Chinese	95
3	1033	Math	42
3	1033	English	40
3	1033	Chinese	61
3	1034	Math	82
3	1034	English	65
3	1034	Chinese	73
3	1035	Math	40
3	1035	English	85
3	1035	Chinese	61
3	1036	Math	63
3	1036	English	34
3	1036	Chinese	75
3	1037	Math	51
3	1037	English	66
3	1037	Chinese	50
3	1038	Math	91
3	1038	English	49
3	1038	Chinese	44
3	1039	Math	72
3	1039	English	35
3	1039	Chinese	49
3	1040	Math	51
3	1040	English	52
3	1040	Chinese	53
3	1041	Math	100
3	1041	English	71
3	1041	Chinese	58
3	1042	Math	52
3	1042	English	75
3	1042	Chinese	52
3	1043	Math	63
3	1043	English	90
3	1043	Chinese	76
3	1044	Math	36
3	1044	English	65
3	1044	Chinese	46
3	1045	Math	39
3	1045	English	84
3	1045	Chinese	46
3	1046	Math	55
3	1046	English	68
3	1046	Chinese	45
3	1047	Math	100
3	1047	English	65
3	1047	Chinese	59
3	1048	Math	81
3	1048	English	43
